mid,userid,message,ts_created,poiid,lon,lat,uid,name,tag1,tag2,tag3,tag4,tag5,最高气温,最低气温,天气,风向,sentiment,intensity,emotion_type,tag5
4.97E+15,6572070876,老街书坊（老街店）。在散发着岁月沧桑和古老气息的高淳老街里，藏着这样一家书店，既有古建筑的清新典雅，又有摩登的现代气息。屋内随处可见的明清砖雕装饰和木质香气，流淌着百年??,2023/11/15,B209425CD465A4F4419F,118.863079,31.32213463,92b806d2ef27aafe79b55cca,高淳老街历史文化景区,旅游景点,文物古迹,历史文化类,0,远郊自然观光类景区,15℃,7℃,多云~小雨,东南风 2级,正面,8,怀旧,近郊生态休闲类景区
4.97E+15,6572070876,高淳老街。老街旧巷，青砖灰瓦，在漫长的时光里沉淀，延续独特的历史与文脉。巷子里石头堆砌的老房子，见证风雨，满是岁月的痕迹，散发着浓郁的烟火气和历史韵味。阳光温和恬静，微??,2023/11/15,B2094757D06AA5FC439A,118.8629699,31.32221846,92b806d2ef27aafe79b55cca,高淳老街历史文化景区,旅游景点,文物古迹,历史文化类,0,近郊生态休闲类景区,15℃,7℃,多云~小雨,东南风 2级,正面,7,怀旧,远郊自然观光类景区
4.97E+15,6572070876,吃螃蟹的最佳时间就是重阳后，且是公蟹！,2023/11/15,B209425CD465ABF9449A,118.8661783,31.32107082,92b806d2ef27aafe79b55cca,高淳老街历史文化景区,旅游景点,文物古迹,历史文化类,0,远郊自然观光类景区,15℃,7℃,多云~小雨,东南风 2级,正面,7,愉悦,近郊生态休闲类景区
4.97E+15,6075589474,[坏笑],2023/11/15,B2094757D06AA5FC439A,118.8629699,31.32221846,92b806d2ef27aafe79b55cca,高淳老街历史文化景区,旅游景点,文物古迹,历史文化类,0,远郊自然观光类景区,15℃,7℃,多云~小雨,东南风 2级,正面,6,愉悦,近郊生态休闲类景区
4.97E+15,1438234157,分享图片,2023/11/16,B2094757D06AA5FC439A,118.8629699,31.32221846,92b806d2ef27aafe79b55cca,高淳老街历史文化景区,旅游景点,文物古迹,历史文化类,0,远郊自然观光类景区,14℃,4℃,雾~晴,西北风 4级,中性,0,无情绪,近郊生态休闲类景区
4.97E+15,3648529234,逃离城市计划?? 终于和爱心树合影啦?? 庄钰菲,2023/11/16,B2094757D06AA5FC439A,118.8629699,31.32221846,92b806d2ef27aafe79b55cca,高淳老街历史文化景区,旅游景点,文物古迹,历史文化类,0,远郊自然观光类景区,14℃,4℃,雾~晴,西北风 4级,正面,9,愉悦,近郊生态休闲类景区
4.97E+15,5375653884,高淳体验卡,2023/11/17,B2094757D06AA5FC439A,118.8629699,31.32221846,92b806d2ef27aafe79b55cca,高淳老街历史文化景区,旅游景点,文物古迹,历史文化类,0,远郊自然观光类景区,15℃,1℃,晴,西北风 4级,中性,0,无情绪,近郊生态休闲类景区
4.97E+15,6010967412,晒太阳吃螃蟹??,2023/11/18,B2094757D06AA5FC439A,118.8629699,31.32221846,92b806d2ef27aafe79b55cca,高淳老街历史文化景区,旅游景点,文物古迹,历史文化类,0,远郊自然观光类景区,15℃,5℃,晴,西南风 1级,正面,8,愉悦,近郊生态休闲类景区
4.97E+15,5928859409,日常 秋游,2023/11/18,B2094757D06AA5FC439A,118.8629699,31.32221846,92b806d2ef27aafe79b55cca,高淳老街历史文化景区,旅游景点,文物古迹,历史文化类,0,远郊自然观光类景区,15℃,5℃,晴,西南风 1级,正面,6,愉悦,近郊生态休闲类景区
4.97E+15,7616761879,体验一把甜妹的感jio [比耶],2023/11/19,B2094757D06AA5FC439A,118.8629699,31.32221846,92b806d2ef27aafe79b55cca,高淳老街历史文化景区,旅游景点,文物古迹,历史文化类,0,远郊自然观光类景区,20℃,5℃,晴,西南风 2级,正面,7,愉悦,近郊生态休闲类景区
4.97E+15,6978762004,很舒服的地方呀,2023/11/19,B2094757D06AA5FC439A,118.8629699,31.32221846,92b806d2ef27aafe79b55cca,高淳老街历史文化景区,旅游景点,文物古迹,历史文化类,0,远郊自然观光类景区,20℃,5℃,晴,西南风 2级,正面,7,愉悦,近郊生态休闲类景区
4.97E+15,1287099035,乘兴老街游，斑斑陈迹留。 粉墙黛瓦古，藤蔓绿阴稠。 米酒沽深巷，茶干香满楼。 慢城今领略，岁月自悠悠。,2023/11/19,B2094757D06AA5FC439A,118.8629699,31.32221846,92b806d2ef27aafe79b55cca,高淳老街历史文化景区,旅游景点,文物古迹,历史文化类,0,远郊自然观光类景区,20℃,5℃,晴,西南风 2级,正面,7,怀旧,近郊生态休闲类景区
4.97E+15,3273856955,螃蟹??,2023/11/19,B2094757D06AA5FC439A,118.8629699,31.32221846,92b806d2ef27aafe79b55cca,高淳老街历史文化景区,旅游景点,文物古迹,历史文化类,0,远郊自然观光类景区,20℃,5℃,晴,西南风 2级,中性,0,无情绪,近郊生态休闲类景区
4.97E+15,3273856955,螃蟹??吃够了！,2023/11/19,B2094757D06AA5FC439A,118.8629699,31.32221846,92b806d2ef27aafe79b55cca,高淳老街历史文化景区,旅游景点,文物古迹,历史文化类,0,远郊自然观光类景区,20℃,5℃,晴,西南风 2级,正面,7,愉悦,近郊生态休闲类景区
4.97E+15,2996413924,跨越900年的时空[照相机],2023/11/19,B2094757D06AA5FC439A,118.8629699,31.32221846,92b806d2ef27aafe79b55cca,高淳老街历史文化景区,旅游景点,文物古迹,历史文化类,0,远郊自然观光类景区,20℃,5℃,晴,西南风 2级,中性,3,怀旧,近郊生态休闲类景区
4.97E+15,7619667069,good friends from europe,2023/11/17,B2094257D56FABFA459C,118.8921935,31.31829638,ef773a0f6c90fa49230220a7,濑渚洲公园,旅游景点,公园,城市公园类,0,远郊自然观光类景区,15℃,1℃,晴,西北风 4级,正面,7,愉悦,近郊生态休闲类景区
